Festival,Year,Track,Category,Title,Agency,Network,Holding,Country,Company,Brand,Product,Producer,Award,Board image,Permalink
FIAP,2025,Innovacion,Innovacion en Campañas Sobre Sostenibilidad,De Vuelta A Casa,Joystick Fifco,Agencia Independiente,Agencia Independiente,Costa Rica,Imperial,Imperial Fifco,Cerveza,Del Mate Producciones - Kaiju Creators,Gold,,/awards/fiap/2025/campaigns/de-vuelta-a-casa-imperial-fifco-joystick-fifco-2025-3/
FIAP,2025,Formatos,Uso de Inteligencia Artificial,De Vuelta A Casa,Joystick Fifco,Agencia Independiente,Agencia Independiente,Costa Rica,Imperial,Imperial Fifco,Cerveza,Del Mate Producciones - Kaiju Creators,Gold,,/awards/fiap/2025/campaigns/de-vuelta-a-casa-imperial-fifco-joystick-fifco-2025-4/
FIAP,2025,Anuncios,Television - Cine - Digital - Bien Publico,This Is Not A Game,VML,VML,WPP,Mexico,Telefonica,Movistar,Negocio Responsable,Landia,Gold,,/awards/fiap/2025/campaigns/this-is-not-a-game-movistar-vml-2025/
FIAP,2025,Anuncios,Television - Cine - Digital - Imagen Corporativa,This Is Not A Game,VML,VML,WPP,Mexico,Telefonica,Movistar,Negocio Responsable,Landia,Gold,,/awards/fiap/2025/campaigns/this-is-not-a-game-movistar-vml-2025-2/
FIAP,2025,Formatos,Online Video,This Is Not A Game,VML,VML,WPP,Mexico,Telefonica,Movistar,Negocio Responsable,Landia,Gold,,/awards/fiap/2025/campaigns/this-is-not-a-game-movistar-vml-2025-3/
FIAP,2025,Innovacion,Innovacion en Tecnologia,Tim Block Pin,BETC Havas,Havas Creative,Havas,Brasil,Tim Telecom,Tim Telecom,Institucional,Zaine Filmes,Gold,,/awards/fiap/2025/campaigns/tim-block-pin-tim-telecom-betc-havas-2025/
FIAP,2025,Formatos,Desarrollo Tecnologico,Tim Block Pin,BETC Havas,Havas Creative,Havas,Brasil,Tim Telecom,Tim Telecom,Institucional,Zaine Filmes,Gold,,/awards/fiap/2025/campaigns/tim-block-pin-tim-telecom-betc-havas-2025-2/
FIAP,2025,Formatos,Cortos,La Mancha Invisible,BETC Havas,Havas Creative,Havas,Brasil,Reckitt,Vanish,Concienciacion Sobre El Bullying,Lobo,Gold,,/awards/fiap/2025/campaigns/la-mancha-invisible-vanish-betc-havas-2025-2/
FIAP,2025,Formatos,Evento en Vivo o Hibrido,The Kimberly Price,Fahrenheit DDB,DDB Worldwide,Omnicom,Peru,Supermercados Peruanos,Plaza Vea,Plaza Vea,Canica Films,Gold,,/awards/fiap/2025/campaigns/the-kimberly-price-plaza-vea-fahrenheit-ddb-2025-3/
FIAP,2025,Formatos,Live Experience,Le Golle,Mccann Worldgroup,Mccann Worldgroup,IPG,Costa Rica,Gollo,Gollo,Gollo,N-A,Gold,,/awards/fiap/2025/campaigns/le-golle-gollo-mccann-worldgroup-2025/
