Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE MIDDLE EAST EXPLAINED,THE NATIONAL,MRM UK,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/5794097cbee34b13bf84f80f60445add/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO MAKE HEALTHY RECIPES,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/2925d0fd209640a9b1a5361c1400fe39/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO GET RID OF MOSQUITOES,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/b105a6d68a6b47cd8f2edc1760b728ed/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO FIND A JOB IN YOUR FIELD,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/8f94af8d43ec431c826f61d5e0b8ce79/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO BAKE AN ORANGE CAKE,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/81d2b0f42de44f2da6ac09880f01da26/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO WORKOUT AT HOME,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/c659704a55904158809ef01968ee1cf4/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GOOGLE AREF DIARIES | HOW TO TIE A TIE,GOOGLE,ELEPHANT,Media & Entertainment,Submitted,https://cdn.filespin.io/api/v1/storyboard/2ca2ec75578e4696b3a81a78060a8b65/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,FINGERSCANTWAIT,ZAIN TELECOM,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/96856bfa8ccf47fa9f398f8e951a7a16/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,WEAREUNSTOPPABLE,ARAMCO,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/db4cbab60ed94e6eb2c00c2af2bd00b8?resize=178,178
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,IMAGINING THE FUTURE,ENEC,FILMS BY NOMAD,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/2826702ac9df4b1ca66a49f9e1a6ceb5/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE GUITARIST,ZAIN,ADPRO JORDAN,Consumer Services & Business to Business,Submitted,https://cdn.filespin.io/api/v1/storyboard/8803465d84ed42408e4756223108879f/storyboard_000008.jpg
